Designator,Mid X,Mid Y,Rotation,Layer
C1,15.6845,16.891,270.0,bottom
C2,10.4775,16.9545,270.0,bottom
C300,23.114,2.54,90.0,top
D1,7.4295,15.875,0.0,bottom
J1,3.429,16.256,0.0,bottom
J2,21.209,16.256,0.0,bottom
Q1,15.113,18.034,270.0,top
Q2,9.525,18.034,270.0,top
R1,15.113,20.574,0.0,top
R2,18.796,17.018,180.0,top
R3,8.763,13.97,0.0,bottom
R300,23.1775,6.477,90.0,top
R301,23.1775,9.525,90.0,top
R302,20.701,14.9225,0.0,top
R303,6.096,20.574,0.0,top
R4,8.4455,17.8435,0.0,bottom
R5,9.525,20.574,0.0,top
R6,8.636,15.24,0.0,top
SW1,22.098,18.542,270.0,top
SW2,2.54,18.542,90.0,top
U1,13.081,16.764,0.0,bottom
U300,21.336,1.016,180.0,top
